Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C18, C19, C2, C3, C5, C6, C7, C8",0603,11,100n,
"C10, C13, C14, C17",0603,4,10u,
"C11, C12",0603,2,1nF,
"C4, C9",CP_Radial_D6.3mm_P2.50mm,2,220u,
J4,KYCON_STX-3120-3B,1,STX-3120-3B,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2, R3, R4",0603,4,4k7,
"R13, R16, R23, R24, R31, R37",0603,6,10k,
"R14, R17, R32, R38",0603,4,1k,
"R19, R20, R21, R22",0603,4,100k,
"R25, R26, R28, R29",0603,4,33k,
"R30, R34, R35, R39",0603,4,47k,
"R33, R40",0603,2,22k,
"RV2, RV3",Potentiometer_Bourns_3266W_Vertical,2,R_Potentiometer,
SW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HC688,
U10,M08A_TEX,1,LM4880MX/NOPB,
"U11, U12, U6, U7",DIP-16_W7.62mm_Socket,4,SN76489AN,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TLV2372,
U3,RU_20_ADI,1,AD7801BRUZ,
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC138,
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,74HCT21,
Y1,OSC_ECS-2100AX-147.4,1,ECS-2100A-035,
