Designator,Mid X,Mid Y,Rotation,Layer
C1,165.01116,77.983935,270.0,top
C10,40.77976,59.467335,90.0,top
C11,42.32916,62.515335,90.0,top
C12,51.451676,61.502903,90.0,top
C13,34.88696,75.088335,180.0,top
C14,34.98856,49.662935,180.0,top
C15,38.06196,56.901935,180.0,top
C16,36.00456,66.122135,0.0,top
C17,55.76576,39.375935,90.0,top
C18,77.15896,44.920135,0.0,top
C19,49.32716,65.080735,180.0,top
C2,62.76316,81.616135,0.0,top
C3,152.41276,80.041335,0.0,top
C4,29.34436,66.579335,180.0,top
C5,63.11876,70.821135,180.0,top
C6,77.05216,70.823471,180.0,top
C7,90.84376,70.848871,180.0,top
C8,104.71156,70.821135,180.0,top
C9,29.42056,56.546335,180.0,top
J1,80.63876,27.395935,0.0,top
J4,15.87696,61.600935,0.0,top
J5,15.91316,51.720335,90.0,top
R1,157.45516,89.363135,180.0,top
R13,59.27096,62.032735,0.0,top
R14,52.340707,49.815335,0.0,top
R16,73.39456,61.984271,0.0,top
R17,66.33336,49.792271,0.0,top
R19,24.54916,68.103335,270.0,top
R2,167.19556,82.124135,90.0,top
R20,24.54916,54.996935,90.0,top
R21,42.32916,59.467335,270.0,top
R22,44.58976,57.968735,0.0,top
R23,40.77976,62.515335,90.0,top
R24,52.99716,61.511535,90.0,top
R25,52.340707,52.888735,180.0,top
R26,66.33336,52.840271,180.0,top
R28,52.340707,51.352035,180.0,top
R29,66.33336,51.316271,180.0,top
R3,155.28296,82.098735,270.0,top
R30,56.04516,83.267135,180.0,top
R31,87.05916,61.984271,0.0,top
R32,80.09956,49.792271,0.0,top
R33,80.09956,52.840271,180.0,top
R34,80.09956,51.316271,180.0,top
R35,56.04516,81.717735,180.0,top
R37,101.10476,62.083535,0.0,top
R38,93.96736,49.789935,0.0,top
R39,93.96736,52.837935,180.0,top
R4,164.87196,89.337735,0.0,top
R40,93.96736,51.313935,180.0,top
RV2,29.34976,73.829135,0.0,top
RV3,29.50216,48.505335,0.0,top
SW1,161.23486,84.498535,0.0,top
U1,160.19486,76.053535,270.0,top
U10,37.02056,61.524735,90.0,top
U11,87.00776,59.543535,0.0,top
U12,100.85076,59.543535,0.0,top
U2,46.92656,61.499135,270.0,top
U3,59.16936,76.967935,90.0,top
U6,59.26916,59.543535,0.0,top
U7,73.21556,59.543535,0.0,top
U8,148.62816,74.188035,270.0,top
U9,73.41876,39.756935,270.0,top
Y1,115.91296,67.061935,180.0,top
