Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C16, C17, C18, C8, C9",0603,11,100n,
C12,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C2, C3, C4, C5",CP_Radial_D6.3mm_P2.50mm,4,220uF,
"C6, C7",0603,2,27pF,
IC1,SOIC16_3P9X9P9_ONS,1,MMPQ3904,
J3,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,1,DE15_Socket_HighDensity_MountingHoles,
Q1,SOT-23,1,2N7002,
"R1, R2, R20, R3, R4, R5",0603,6,4k7,
"R10, R8, R9",0603,3,1k,
R11,0603,1,75,
"R12, R14, R15, R17",0603,4,220,
"R13, R16, R18",0603,3,22,
R19,0603,1,470,
R6,0603,1,47k,
SW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HC688,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,74AHC139,
U11,DIP-24_W7.62mm_Socket,1,ATF22V10C-15PU,
U2,D886442,1,V9958,
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC273,
"U4, U5, U6, U7",DIP-18_W7.62mm_Socket,4,~,
U8,SOT-363_SC-70-6,1,74LVC1G19,
U9,SOT-363_SC-70-6,1,BAT54JW-7-F,
Y1,XTAL_ECS-221-S-4X,1,HC-49/U-S21477270ABJB,
