Designator,Mid X,Mid Y,Rotation,Layer
C1,358.91476,25.418335,270.0,top
C10,255.298397,-7.682001,0.0,top
C11,272.113197,37.809399,0.0,top
C12,245.214597,-1.001543,90.0,top
C13,287.49316,-8.110265,0.0,top
C14,321.566997,5.932399,0.0,top
C15,317.172797,-11.568201,180.0,top
C16,265.890197,-8.063001,0.0,top
C17,312.829397,38.418999,0.0,top
C18,297.042997,12.409399,180.0,top
C2,235.353997,32.754799,180.0,top
C3,235.328597,25.795199,180.0,top
C4,235.342577,1.461999,180.0,top
C5,245.214597,-8.240543,90.0,top
C6,318.925397,19.343599,180.0,top
C7,318.862197,14.466799,180.0,top
C8,329.923597,4.763999,0.0,top
C9,276.735997,-8.063001,0.0,top
IC1,240.077697,13.669399,0.0,top
J2,304.84136,-18.360081,0.0,top
J3,221.831315,6.038735,270.0,top
Q1,298.224397,-5.827801,0.0,top
R1,348.83096,35.438935,270.0,top
R10,239.536397,6.745599,90.0,top
R11,231.992597,18.314799,0.0,top
R12,231.992597,16.765399,180.0,top
R13,231.992597,13.920599,0.0,top
R14,231.992597,12.371199,180.0,top
R15,231.992597,10.796399,180.0,top
R16,231.992597,9.221599,0.0,top
R17,231.992597,7.672199,180.0,top
R18,231.992597,6.097399,0.0,top
R19,245.457797,18.429199,180.0,top
R2,361.17536,28.847135,90.0,top
R20,299.773797,37.834799,180.0,top
R3,348.98336,29.622335,270.0,top
R4,361.02296,35.401335,270.0,top
R5,321.236797,-9.028201,180.0,top
R6,301.119997,-5.853201,90.0,top
R8,241.136597,6.745599,90.0,top
R9,242.685997,6.745599,90.0,top
SW1,354.98306,32.051135,0.0,top
U1,353.94306,23.606135,270.0,top
U10,326.182997,-1.193201,270.0,top
U11,326.037397,31.972399,90.0,top
U2,279.272797,25.072199,180.0,top
U3,315.002997,-1.293201,270.0,top
U4,255.066597,0.344399,0.0,top
U5,276.777264,0.344399,0.0,top
U6,265.92193,0.344399,0.0,top
U7,287.632597,0.344399,0.0,top
U8,317.165497,-9.705701,0.0,top
U9,312.956397,-10.298201,180.0,top
Y1,314.721997,16.905199,270.0,top
