Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C18, C19, C20, C21, C22, C3, C4, C6, C7, C8, C9",0603,17,100n,
"C15, C16, C17, C23",CP_Radial_D6.3mm_P2.50mm,4,220u,
"C2, C5",0603,2,47p,
C24,CP_Radial_D5.0mm_P2.00mm,1,10u,
J1,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,1,DE15_Socket_HighDensity_MountingHoles,
"R10, R11, R12, R2, R9",0603,5,4K7,
"R3, R4, R5",0603,3,470,
"R6, R7, R8",0603,3,75,
"RV1, RV2",Potentiometer_Bourns_3266W_Vertical,2,R_Potentiometer,
SW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CD74HC139M96,
"U10, U12, U13, U14, U15, U7, U8, U9",DIP-16_W7.62mm_Socket,8,MK4164N,
U11,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HC688,
U2,DIP-40_W15.24mm_Socket,1,TMS9928A,
U3,SOIC-20W_7.5x12.8mm_P1.27mm,1,SN74HC273DWR,
U4,SOT-363_SC-70-6,1,BAT54JW-7-F,
U5,SOT-363_SC-70-6,1,SN74LVC1G19DCKR,
U6,D8,1,THS7314DR,
Y1,Crystal_HC49-U_Vertical,1,MP107-E,
