Designator,Mid X,Mid Y,Rotation,Layer
C1,172.20036,64.735735,270.0,top
C10,159.14476,67.441135,0.0,top
C11,112.81516,70.514535,270.0,top
C12,66.46016,67.542735,180.0,top
C13,66.46016,69.015935,180.0,top
C14,66.46016,70.539935,180.0,top
C15,49.19674,62.284935,180.0,top
C16,49.215029,69.346007,180.0,top
C17,49.19674,76.458135,180.0,top
C18,170.65096,100.461135,180.0,top
C19,171.74316,81.055535,180.0,top
C2,83.35116,71.301935,270.0,top
C20,127.62336,78.388535,0.0,top
C21,120.18116,78.413935,0.0,top
C22,109.29756,83.392335,0.0,top
C23,76.251781,54.443335,0.0,top
C24,76.301781,61.353335,0.0,top
C3,97.37196,83.443135,0.0,top
C4,87.35196,83.341535,0.0,top
C5,83.35116,74.616335,90.0,top
C6,138.51996,78.388535,0.0,top
C7,148.78156,78.439335,0.0,top
C8,76.72176,83.316135,0.0,top
C9,61.06236,73.638735,180.0,top
J1,40.02536,70.462535,270.0,top
J5,99.25086,39.877435,0.0,top
R10,181.57296,90.682135,0.0,top
R11,174.22016,90.758335,180.0,top
R12,181.44596,100.181735,180.0,top
R2,157.46836,65.840935,0.0,top
R3,73.99076,68.431735,0.0,top
R4,73.99076,65.561535,0.0,top
R5,73.99076,75.035735,0.0,top
R6,54.33116,62.284935,180.0,top
R7,54.349449,69.346007,180.0,top
R8,54.33116,76.458135,180.0,top
R9,173.76196,100.461135,0.0,top
RV1,68.56836,64.251535,0.0,top
RV2,68.61916,73.852735,0.0,top
SW1,177.87416,95.443335,0.0,top
U1,167.69416,61.193335,270.0,top
U10,109.03416,89.733335,0.0,top
U11,167.68416,95.203335,270.0,top
U12,119.81416,89.733335,0.0,top
U13,130.59416,89.733335,0.0,top
U14,141.37416,89.733335,0.0,top
U15,152.15416,89.733335,0.0,top
U2,116.74416,68.203335,90.0,top
U3,167.59416,73.548335,270.0,top
U4,160.47596,61.269635,270.0,top
U5,160.51416,65.050835,90.0,top
U6,61.04996,69.930335,180.0,top
U7,76.69416,89.733335,0.0,top
U8,87.47416,89.733335,0.0,top
U9,98.25416,89.733335,0.0,top
Y1,87.00876,72.951335,270.0,top
